関数の機能	実装難易度
小さなグリッドのピクセルパターンを大きなグリッドに座標ベースで拡大複製	3
静的ピクセルと蜂蜜壺（ボックス）を配置し、囲まれた領域を黄色で塗りつぶし	4
ステップサイズに基づいて青と赤のピクセルパターンを垂直拡張で生成	3
箱型図形を対角線パターンで描画し、入力では一部のみ表示	4
スプライトを複数方向にスタンプし、中央スプライトから放射状に配置	5
2つのグリッド半分の交差部分に基づいて色分けパターンを生成	3
対角線ストライプパターンで一部のみを入力に表示	3
赤と青緑の磁石を重力方向に移動させる物理シミュレーション	4
同色ピクセルを線で接続し、グリッドラインを追加	5
高さの異なるバーを並べ替えて色分け表示	2
ミニグリッド内のピクセル配置と虹色パターンの管理	4
2色のピクセルパターンを重力方向に適用	3
縦縞パターンを生成し、底部の色指定に基づく	3
グリッド内の最も希少な色の境界ボックスを抽出	4
星の形状ピクセルを配置し、特定色の星を点滅させる	3
色のマッピングテーブルを適用して色変換	1
数学的パターン（積の余り）を生成し、カットアウト領域を配置	2
スプライトを回転・複製し、一部ピクセルを隠して配置	5
小さなグリッドを4倍に拡大し、青緑の境界線を追加	2
中心から放射状に爆発パターンを生成し、特定半径を保持	3
行と列の太さに基づいてグリッドライン付きパターンを生成	3
複数のスプライトを配置し、最初のスプライトのみを出力	3
おもちゃ（箱、棒）を配置し、色分けして表示	3
ピクセルから十字線を描画する放射パターン生成	2
垂直線と水平線の色を基準にピクセルを移動	4
2つのグリッド半分の交差に基づいて異なる色パターンを生成	3
4回対称でピクセルパターンを複製配置	2
2色のピクセルから境界線パターンを生成	3
グリッドの一部を拡大表示するズーム機能	2
垂直クラスターを配置し、最初の位置に整列	3
連続ピクセルパターンの境界ボックスを抽出	2
色ごとのアクティブ行を下から積み上げ表示	3
ハリウッドスクエア形式でピクセルパターンを拡張配置	4
中央の正方形から指定方向に線を延長	3
プールの境界内外で色ピクセルを対応配置	3
天体オブジェクトの境界ボックスを抽出	2
対角線の始点と終点のみを入力に表示	3
大きな青いボックスの数をカウント表示	3
3x3風車パターンを4回対称で複製	2
中央線で左右に色分けするパターン転置	2
三角形パターンを描画し、下向きに塗りつぶし	3
ボックスを反転・拡大し、追加の青緑色要素を配置	4
灰色ピクセルの交点に赤色を配置	2
ボックス内のスプライトと外部の塵を管理	4
色の並び順を比較し、一致する場合は水平線を描画	2
セグメント化されたパターンを垂直オフセットで調整	4
2つのピクセルから十字線パターンを生成	2
赤いボックス間の経路存在を判定	5
最小面積のボックスを抽出	3
ピクセル間を線で接続するパターン生成	3
レーザー型図形を重力方向に適用	3
行の色多様性を判定し、単色行を灰色、混色行を黒で表示	2
ピクセルを1行下に移動	1
星と旗のパターンを複雑な配置で生成	5
グリッドラインで区切られた領域を指定色で塗りつぶし	3
パターンインデックスを色パターンに変換	2
コンウェイスプライトを水平に複製	2
螺旋状の緑パターンを生成	4
ミニグリッド内で最大ピクセル数を持つ領域を塗りつぶし	3
左右の色を中央で灰色線を挟んで水平拡張	2
数学的パターンから指定領域をカットアウト	2
スプライトの隠れた部分を反転表示	3
境界線パターンを描画し、内部の自由領域を緑で塗りつぶし	4
ボックス外のピクセルからボックスに向かって線を描画	3
十字線で分割されたグリッドから指定部分を抽出	2
S字またはU字パターンを描画し、色に基づいて方向を決定	4
3つの図形のうち中央のみを反転表示	2
最小頻度色の周囲を赤枠で囲む	3
最初のスプライト以外を黒で塗りつぶし	3
グリッドパターンを繰り返し適用し、特定領域を変更	4
スプライトの対称複製を生成	3
上下2つの領域を組み合わせ、重複を緑で表示	3
塔状構造を上から表示	2
三角形パターンから可視部分のみを抽出	4
ミニグリッドのパターンをハリウッドスクエア形式で配置	3
虹色スプライトを回転配置し、黄色と赤以外を隠す	4
静的ノイズの下にある矩形を黄色に変換	3
上下の柱パターンを中央で接続	2
最初のスプライトのみを3x3出力に抽出	3
グリッドライン付きでピクセルパターンを全展開	3
欠けた角を青で強調表示	3
縦縞パターンを市松模様で表示	2
4方向に対称展開	2
左列の色から対角線パターンを生成	2
パンチカード状パターンから穴あき部分を除去	2
花の形状パターンで中心と外側を色交換	3
180度回転パターンを生成	1
ボックス角からスプライトパターンを抽出	3
2つのスプライトを配置し、一方を左右反転	4
最大空白領域をピンクで塗りつぶし	4
ズーム領域の境界線を表示	2
平行棒と垂直棒の終点間を線で接続	4
水平線の上下でピクセルを境界まで延長	3
十字線パターンで交差点を生成	3
3x3ボックスパターンで中心を灰色に変換	2
同心円状の境界線パターンを生成	4
単独ピクセル（隣接なし）を黒で除去	2
ボックスの輪郭のみを残し、内部を黒抜き	2
建物状構造で中央に色ピクセルを配置	3
面積の大小関係を2x2パターンで表示	3
スプライトを段階的に拡大し、青色部分を段階表示	4
正方形ボックスの内部を赤で塗りつぶし	3
対称性（水平）の有無を青またはオレンジで判定	3
指定象限をスプライトサイズで拡大表示	3
カットライン付き構造で青ピクセルのみを表示	3
4回回転対称でパターンを展開	2
ボックス周囲に赤い境界線を追加し、パターンを拡大	4
小さなパターンを4倍拡大	2
十字線で分割し、4象限に対称配置	3
数学的パターンを別の色配列で再着色	3
複数スプライトから最初のもののみを抽出	3
緑ボックス周囲の4隅にスプライトパターンを配置	3
色パターンを上下対称に複製	2
境界を1ピクセル拡張	2
色の長さパターンから色インデックスを抽出	4
上下に反転複製	2
本体パターンの4隅に脚を配置	3
静的ノイズの下にある十字を青緑に変換	3
対角線パターンと壁の物理反射	4
ボックスの境界線のみを残し、内部を青緑で塗りつぶし	2
複数スプライトから最初のもののみを抽出（中心は青緑）	3
緑ピクセルのパターンを1単位右にシフト	2
対角線に沿って色パターンを拡張	3
パターンを対角線方向に繰り返し配置	3
ボックス周囲に緑の境界線を追加	3
射手パターンから下向きに黄色弾を発射	2
3つの色を5色オフセットで変換し、3x3領域に配置	2
箱パターンを上方向に移動	2
最頻色で全体を塗りつぶし	2
ミニグリッドパターンを3x3に縮小抽出	3
緑のクリーチャーを赤線の反対側に移動	3
ボックスの対角隅にピクセルを配置	3
スプライトを段階的に拡大し、特定ピクセルを強調	4
背景ピクセルから拡大スプライトパターンを抽出	4
9x9グリッドから3x3の特定部分を抽出	2
2つのボックスから対角線を描画	3
中央ピクセルから段階的に正方形を拡張	3
境界線内でピクセルを指定方向に移動	4
2つのスプライトを逆転置で配置	3
180度回転で色の位置を変更	2
1つのピクセルから対角線を描画	2
4方向対称で色パターンを展開	2
複数スプライトをボックス配置し、最初のもののみ特別表示	4
上下2つの領域で重複のない部分を緑で表示	3
矩形分割パターンで最小・最大面積を色分け	5
3つのグリッドから非対称なもの1つを抽出	4
境界に接触しないピクセルを緑で表示	3
ポータル間でピクセルを転送	4
ミニグリッドで2ピクセル以上持つ領域を青で表示	3
水平反転	1
十字線パターンで交差点を黄色で強調	2
縦と横に対称展開	2
2つの半分パターンを1つの3x3出力に合成	4
ボックス外のパターンをボックス内に圧縮	4
上下反転	1
2つの矩形のサイズ関係を色で表示	3
地中のクリーチャーを地上の足跡から推定	5
対称スプライトを隠蔽・回転配置	5
スプライトを拡大し、境界線付きで抽出	3
スプライト形状を変換（ボックスを十字に）	3
水平・垂直レーザーライン	2
3x3穴の周囲を青で塗りつぶし	3
ミニグリッドから黄色ピクセルの位置パターンを抽出	3
左右対称に複製	2
凧の上にあるピクセルを下に落下させる	3
青緑ストリップパターンを赤で埋める	3
色数に応じて灰色パターンを配置	2
矢印パターンから指定方向に線を描画	3
スプライトのピクセル数を5からの差で表示	3
色付きスプライトから色パターンを抽出	4
境界線のみを青緑で描画	1
縦に対称複製	2
複数スプライトで異なる部分のみを表示	4
対称・回転対称パターンから非対称パターンを抽出	5
数学的パターン（除算ベース）からカットアウト領域を除去	3
ジグザグ波形パターンで黄色の塗りつぶし領域を生成	3
左右反転でパターンを配置	2
色の層パターンから色のリストを抽出	3
転置（行列の転置）	1
4つの象限から特定の順序でピクセルを抽出	3
青緑スプライトを左右に配置し、黄色スプライトを追加	3
スプライトパターンをボックス内に配置し、コピーを隠す	4
4隅の色から象限ごとに色分け	3
パッチワークパターンから色パッチを抽出	4
グリッドライン内の色パターンを3x3に抽出	4
ピクセル数に応じて赤ピクセルのパターンを配置	2
ボックスと線パターンで内部を赤、外部を緑で塗りつぶし	5
縦または横に複製	2
4隅の色から象限ごとに色分け（反転オプション付き）	3
ボックスから指定方向に対角線を描画	3
パターンマッチングで回転・変形した同じパターンを検出	5
ランダムピクセルを配置（ボックス内は除外）	2
ピクセルがボックスを接続しないように配置	4
4回回転対称で色パターンを展開	2
3x3スプライトを拡大しグリッド状に配置	3
ボックスの境界線を色分け（穴なしは緑、穴ありは青）	4
パターン配列で色の組み合わせを生成	3
グリッドライン上のピクセルから隣接セルを黄色に変換	4
1つのピクセルから市松模様パターンを生成	3
1つのピクセルから階段状の灰色パターンを生成	3
2つのConway型スプライトを配置し、箱と境界を持つグリッドを生成	4
層状のカラーグリッドに黒い穴を配置し、その列全体を黒く塗る変換	3
同心円状のカラーパターンを反転させる変換	2
重複しない四角い枠を配置し、内部を長さに応じて色分けする	3
ランダムな背景に箱を配置し、箱内の特定ピクセルを十字状に拡張	4
Conwayスプライトを2箇所に配置し、グレイマーカーで一方を標識	3
4つのセルパターンから異なるものを特定し抽出	2
カラーグリッドに箱型の切り抜きを作成し、境界線を描画	4
生物型スプライトの一部を拡大表示するズーム機能	4
3x3グリッドのピクセルを垂直反射させて3x6グリッドに変換	2
2x3グリッドのピクセルを6x9グリッドに6方向対称展開	3
水平線を境に上下のピクセルを色で分け、重力効果を適用	3
縞模様から灰色四角部分を抽出して出力	2
3x3グリッドを回転させて横並びに配置	2
パターンを水平方向に繰り返し、垂直方向に拡張	3
複数の箱の中で最もピクセル数が多いものを抽出	3
スプライトの1ピクセルを基準に全体を9x9グリッドに展開	3
パッチワーク状のグリッドを縮小して色パターンに変換	3
3種類のパターンを組み合わせて段階的に配置	4
色付きピクセルの周囲3x3を別の色で塗りつぶし	2
ピクセル数に基づいてグリッドサイズを決定し配置	3
ランダムグリッドから特定の矩形領域を抽出	2
3x3グリッドのピクセルを色付けして拡大表示	2
入れ子になった箱構造を作成し、内側の箱のみ色を変更	3
2x2の中心パターンを4つの角に2x2として複製	2
グリッド分割線を描画し、特定セクションを色分け	3
2つのレイヤーから欠けている部分を赤で補完	2
箱の4隅の色を対角線上の外側に移動	2
最頻出色以外をグレイに変換	2
2x2パターンを配置し、隅に番号を割り当て	2
パターンを水平方向に2倍幅に拡張	2
ピクセル位置から交互の縞模様を生成	2
スプライトを回転させて赤い箱内に配置	5
カエルと蝿の位置関係を調整（舌の描画含む）	4
数字パターンから3x3の色配列を生成	2
2つのレイヤーの論理演算結果を緑で表示	2
ピクセル位置からL字型の塗りつぶしパターン生成	2
スプライトと境界線から4象限の色分け	3
色の出現頻度に基づいて縦棒グラフを作成	3
対角線パターンを4方向対称に展開し点線で装飾	4
下三角行列のピクセルを上三角に転置	2
4方向対称グリッドから小さな矩形を切り出し	3
青いピクセルから洪水塗りつぶしを実行	2
拡大グリッドを縮小し、グリッド線を除去	3
赤いスプライトを緑の境界付きで移動	3
2点間の最短パス配線を複数色で描画	4
最大ピクセル数のスプライトを持つ箱を列選択	3
単純な跳ね返りアニメーション	2
グリッドを水平方向に2倍に複製	1
2x2の赤い箱周辺のグレイピクセルを箱の境界に移動	3
矩形の枠だけを描画し、内部を青で塗りつぶし	3
対角線上の色を黄色と交互に配置	2
4つの2x2ブロックから特定の4x4パターンを構成	3
棒グラフの最小値を赤、最大値を青で強調	2
静的ノイズから緑の配管構造を復元	4
赤い線から上下に三角形を生成	2
4象限のレイヤーを1つのグリッドに合成	3
奇数長の線分を交互色パターンで塗りつぶし	2
スプライトを別の色で背景に移動	2
対角線とグレイ角から2つ離れた対角線を描画	4
シアンピクセルを1つ下+右に赤で移動	1
行ごとのグレイピクセル位置に基づいて色の行を生成	2
複数形状から異なるもの（weird）を特定抽出	3
9つの3x3領域に特定のテトリス様形状を配置	4
迷路状グリッドの空いた2x2領域を赤で塗りつぶし	4
赤いピクセルの4つの対角位置に異なる色を配置	1
連続生物パターンの色を変換	2
色付き箱から黄色の噴水効果を生成	3
ピクセルを色ごとに列に整理	2
花の中心から4方向に花びらを成長	3
複数の3x3箱から最大ピクセル数のものを抽出	3
赤いピクセルの非境界部分を青で塗りつぶし	2
箱の境界を描画し、内部を赤で塗りつぶし	2
カップの水位を3x3パターンで表現	3
2つのパターンを組み合わせて大きなグリッドを構成	4
ピンクを赤に、オレンジをそのまま保持	1
3つのスプライトから同じサイズのものを青赤で色分け	3
オリーブ（緑領域）を復元して赤い点を保持	3
閉じた箱を青、開いた箱をシアンで区別表示	4
箱とドットから重力方向を考慮したビーム描画	4
内外の箱からドットまでの箱を除去	3
グレイピクセル周辺の4方向と対角に色を配置	2
2つの箱の境界を4色で色分け	2
対称的な色パターンから矢印様の形状を作成	3
スプライトの4つの角度表現から指定角度のみ表示	4
迷路内の同色ペアを全域に拡散	4
4方向対称グリッドから2つの矩形を除去	3
首と肩の幅からアンテナ付き人形を生成	2
ピクセルを色ごとに列に整理（各色1個保証）	2
クリームクッキーの層構造を反転	2
複数の箱から最大のもの以外を除去してドーナツ穴抽出	3
黄色の市松模様に3の倍数位置でピンクを配置	2
垂直線と水平線の描画順序を入れ替え	2
矩形内部を赤で塗り、重力方向を適用	3
上辺の線から下向きの三角形を生成	2
7x5グリッドから中央部分を除外して3x3に変換	2
色リストから縞模様と色ブロックを生成	2
同心矩形パターンで色インデックスを1つずらし	2
道路交差点に黄色信号を配置	2
複数スプライトから最大のものを抽出	3
色の三角配置を右下寄せに変換	2
3つの正方形の辺長-2を色で表現	2
ランダムノイズに赤い直線を追加	2
最頻色の位置に全パターンを3x3単位で複製	3
対角縞模様から複数矩形を切り抜き	3
格子状グリッドの1つの象限にのみピクセル配置	3
2列の色強化表示（後の色が前の色を上書き）	2
対称パターンの境界破損部分を8方向対称で修復	4
3色パターンでオレンジをグレイに変換	1
ワイヤーグリッドから箱領域を抽出	2
3x3グリッドを水平方向に鏡像反転	1
箱内部を左端パターンの色で塗りつぶし	2
チェッカーボードパターンで色インデックスを1つずらし	2
4角の位置に基づいて3x3ブロックに色を配置	3
赤ピクセルの位置に全パターンを3x3単位で複製	3
ピクセルを3x3グリッドに順序配置（2行目は反転）	2
各ピクセル位置を中心とした3x3青ブロックを生成	2
2つのレイヤーを分離し、重複部分を緑で表示	2
スプライトの拡大版を生成し、隠れた部分を特別色で表示	4
棒グラフの下半分をシアンで塗りつぶし	1
3色レイヤーを後の色が前の色を上書きして合成	2
各列の指定行から下をその色で塗りつぶし	1
シアンピクセルから2つの対角方向にグレイの階段パターン	3
ドットから対角線全体に2色で塗り分け	3
複数スプライトから対角線パターンを生成	2
繰り返しパターンから左上2x2を抽出	1
3つの対角線を右下方向に延長	2
4隅からの距離と偶数制約で色を配置	3
格子パターンから中央列のみ抽出	1
スプライトのピクセル数が6なら赤、それ以外は青	2
各ピクセルの4方向に異なる色を配置	2
